hotend_ist;hotend_soll;bed_ist;bed_soll
24,19 ;0,00 ;60,23 ;/60,00 
24,12 ;0,00 ;60,57 ;/60,00 
24,31 ;0,00 ;60,71 ;/60,00 
24,37 ;0,00 ;60,90 ;/60,00 
24,56 ;0,00 ;60,88 ;/60,00 
24,47 ;0,00 ;60,82 ;/60,00 
24,53 ;0,00 ;60,64 ;/60,00 
24,37 ;0,00 ;60,47 ;/60,00 
24,50 ;0,00 ;60,30 ;/60,00 
24,62 ;0,00 ;60,14 ;/60,00 
24,50 ;0,00 ;59,90 ;/60,00 
24,50 ;0,00 ;59,69 ;/60,00 
24,56 ;0,00 ;59,56 ;/60,00 
24,53 ;0,00 ;59,40 ;/60,00 
24,56 ;0,00 ;59,49 ;/60,00 
24,53 ;0,00 ;59,54 ;/60,00 
24,53 ;0,00 ;59,91 ;/60,00 
24,66 ;0,00 ;60,17 ;/60,00 
24,62 ;0,00 ;60,39 ;/60,00 
24,47 ;0,00 ;60,63 ;/60,00 
24,44 ;0,00 ;60,83 ;/60,00 
24,59 ;0,00 ;60,89 ;/60,00 
24,56 ;0,00 ;60,82 ;/60,00 
24,56 ;0,00 ;60,71 ;/60,00 
24,47 ;0,00 ;60,53 ;/60,00 
24,47 ;0,00 ;60,25 ;/60,00 
24,59 ;0,00 ;59,95 ;/60,00 
24,66 ;0,00 ;59,69 ;/60,00 
24,47 ;0,00 ;59,49 ;/60,00 
24,59 ;0,00 ;59,41 ;/60,00 
24,50 ;0,00 ;59,45 ;/60,00 
24,47 ;0,00 ;59,57 ;/60,00 
24,53 ;0,00 ;59,75 ;/60,00 
24,62 ;0,00 ;59,97 ;/60,00 
24,50 ;0,00 ;60,14 ;/60,00 
24,59 ;0,00 ;60,35 ;/60,00 
24,53 ;0,00 ;60,37 ;/60,00 
24,47 ;0,00 ;60,29 ;/60,00 
24,62 ;0,00 ;60,15 ;/60,00 
24,53 ;0,00 ;59,88 ;/60,00 
24,56 ;0,00 ;59,57 ;/60,00 
24,59 ;0,00 ;59,40 ;/60,00 
24,56 ;0,00 ;59,39 ;/60,00 
24,50 ;0,00 ;59,38 ;/60,00 
24,53 ;0,00 ;59,53 ;/60,00 
24,53 ;0,00 ;59,61 ;/60,00 
24,53 ;0,00 ;59,83 ;/60,00 
24,56 ;0,00 ;59,96 ;/60,00 
